Tract,Hemisphere,Point,Value,Std.Error,DF,t.value,p.value,p.val.adj,Position
AF,L,1,0.03267,0.02668442,447,1.224309912,0.221480203,1,0
AF,L,2,0.018143333,0.02668442,447,0.67992234,0.496905601,1,3.125
AF,L,3,0.007303333,0.02668442,447,0.273692788,0.784447139,1,6.25
AF,L,4,0.017273333,0.02668442,447,0.647319045,0.517757767,1,9.375
AF,L,5,0.051853333,0.02668442,447,1.943206305,0.052618624,1,12.5
AF,L,6,0.03901,0.02668442,447,1.461901735,0.144470787,1,15.625
AF,L,7,0.021073333,0.02668442,447,0.789724239,0.430107544,1,18.75
AF,L,8,0.019613333,0.02668442,447,0.735010664,0.462718435,1,21.875
AF,L,9,0.009266667,0.02668442,447,0.347268805,0.728552827,1,25
AF,L,10,0.00733,0.02668442,447,0.274692123,0.783679694,1,28.125
AF,L,11,0.015863333,0.02668442,447,0.594479224,0.552492402,1,31.25
AF,L,12,0.00311,0.02668442,447,0.116547408,0.907271059,1,34.375
AF,L,13,0.0082,0.02668442,447,0.307295417,0.758761637,1,37.5
AF,L,14,0.028886667,0.02668442,447,1.082529303,0.279601013,1,40.625
AF,L,15,0.049836667,0.02668442,447,1.867631619,0.062467612,1,43.75
AF,L,16,0.048126667,0.02668442,447,1.803549282,0.071975175,1,46.875
AF,L,17,0.02661,0.02668442,447,0.997211104,0.319201561,1,50
AF,L,18,0.024296667,0.02668442,447,0.910518819,0.363039682,1,53.125
AF,L,19,0.027856667,0.02668442,447,1.043930001,0.297082002,1,56.25
AF,L,20,0.0096,0.02668442,447,0.359760488,0.719196158,1,59.375
AF,L,21,0.000473333,0.02668442,447,0.017738191,0.985855628,1,62.5
AF,L,22,-0.003243333,0.02668442,447,-0.121544082,0.90331472,1,65.625
AF,L,23,0.00869,0.02668442,447,0.325658192,0.744835367,1,68.75
AF,L,24,0.024683333,0.02668442,447,0.925009172,0.355460231,1,71.875
AF,L,25,0.020566667,0.02668442,447,0.77073688,0.441270086,1,75
AF,L,26,0.03679,0.02668442,447,1.378707122,0.168674624,1,78.125
AF,L,27,0.042753333,0.02668442,447,1.602183342,0.109821461,1,81.25
AF,L,28,0.03501,0.02668442,447,1.312001531,0.190192984,1,84.375
AF,L,29,0.020013333,0.02668442,447,0.750000685,0.453648854,1,87.5
AF,L,30,0.023996667,0.02668442,447,0.899276304,0.368989679,1,90.625
AF,L,31,0.02328,0.02668442,447,0.872419184,0.383448112,1,93.75
AF,L,32,0.001073333,0.02668442,447,0.040223221,0.967933124,1,96.875
AF,L,33,0.021076667,0.02668442,447,0.789849156,0.430034655,1,100
AF,R,1,-0.016333333,0.044745853,244,-0.365024516,0.7154093,1,0
AF,R,2,0.002233333,0.044745853,244,0.049911515,0.960233733,1,2.857142857
AF,R,3,-0.044616667,0.044745853,244,-0.997112887,0.319697523,1,5.714285714
AF,R,4,-0.062383333,0.044745853,244,-1.394170166,0.164534452,1,8.571428571
AF,R,5,-0.0601,0.044745853,244,-1.343141229,0.180474204,1,11.42857143
AF,R,6,-0.024916667,0.044745853,244,-0.556848624,0.578141247,1,14.28571429
AF,R,7,-0.027983333,0.044745853,244,-0.625383839,0.532303629,1,17.14285714
AF,R,8,-0.028916667,0.044745853,244,-0.646242383,0.518729749,1,20
AF,R,9,-0.015316667,0.044745853,244,-0.342303602,0.732417093,1,22.85714286
AF,R,10,-0.031966667,0.044745853,244,-0.714405124,0.475659593,1,25.71428571
AF,R,11,-0.034566667,0.044745853,244,-0.772511067,0.440559423,1,28.57142857
AF,R,12,-0.03575,0.044745853,244,-0.798956721,0.425092521,1,31.42857143
AF,R,13,-0.017683333,0.044745853,244,-0.395194909,0.693044319,1,34.28571429
AF,R,14,-0.0154,0.044745853,244,-0.344165972,0.731017892,1,37.14285714
AF,R,15,-0.02485,0.044745853,244,-0.555358728,0.579158117,1,40
AF,R,16,0.0156,0.044745853,244,0.34863566,0.727663488,1,42.85714286
AF,R,17,0.0254,0.044745853,244,0.567650369,0.570794327,1,45.71428571
AF,R,18,0.01685,0.044745853,244,0.37657121,0.706819542,1,48.57142857
AF,R,19,-0.030283333,0.044745853,244,-0.67678525,0.499183307,1,51.42857143
AF,R,20,-0.013233333,0.044745853,244,-0.295744353,0.767676853,1,54.28571429
AF,R,21,-0.007366667,0.044745853,244,-0.164633506,0.869368761,1,57.14285714
AF,R,22,-0.015083333,0.044745853,244,-0.337088966,0.736339607,1,60
AF,R,23,-0.0096,0.044745853,244,-0.214545022,0.830301257,1,62.85714286
AF,R,24,-0.013566667,0.044745853,244,-0.303193833,0.762000495,1,65.71428571
AF,R,25,-0.0308,0.044745853,244,-0.688331944,0.491897665,1,68.57142857
AF,R,26,-0.0311,0.044745853,244,-0.695036476,0.487693785,1,71.42857143
AF,R,27,0.019033333,0.044745853,244,0.425365303,0.670945307,1,74.28571429
AF,R,28,0.013983333,0.044745853,244,0.312505682,0.754923157,1,77.14285714
AF,R,29,-0.0125,0.044745853,244,-0.279355497,0.780208666,1,80
AF,R,30,0.015566667,0.044745853,244,0.347890712,0.728222193,1,82.85714286
AF,R,31,0.005583333,0.044745853,244,0.124778789,0.900801419,1,85.71428571
AF,R,32,0.011133333,0.044745853,244,0.248812629,0.803715023,1,88.57142857
AF,R,33,0.0435,0.044745853,244,0.972157129,0.331935118,1,91.42857143
AF,R,34,0.03655,0.044745853,244,0.816835473,0.414819261,1,94.28571429
AF,R,35,-0.009166667,0.044745853,244,-0.204860698,0.837851752,1,97.14285714
AF,R,36,0.018283333,0.044745853,244,0.408603973,0.683188689,1,100
ILF,L,1,0.016921212,0.023290415,575,0.726531152,0.467808868,0.99980002,0
ILF,L,2,0.00950404,0.023290415,575,0.408066596,0.683376687,1,3.125
ILF,L,3,-0.01329798,0.023290415,575,-0.570963623,0.568247375,1,6.25
ILF,L,4,-0.003942424,0.023290415,575,-0.169272391,0.865641924,1,9.375
ILF,L,5,0.012346465,0.023290415,575,0.530109257,0.596240821,1,12.5
ILF,L,6,0.00389899,0.023290415,575,0.167407488,0.867108292,1,15.625
ILF,L,7,0.008523232,0.023290415,575,0.365954505,0.714533622,1,18.75
ILF,L,8,-0.012591919,0.023290415,575,-0.540648122,0.588959504,1,21.875
ILF,L,9,0.0017,0.023290415,575,0.0729914,0.941838344,1,25
ILF,L,10,0.003308081,0.023290415,575,0.142036146,0.887101206,1,28.125
ILF,L,11,-0.006415152,0.023290415,575,-0.275441699,0.783075864,1,31.25
ILF,L,12,-0.016371717,0.023290415,575,-0.702937972,0.4823789,1,34.375
ILF,L,13,-0.0177,0.023290415,575,-0.75996928,0.447584425,0.99980002,37.5
ILF,L,14,-0.023906061,0.023290415,575,-1.026433427,0.305118928,0.99050095,40.625
ILF,L,15,-0.025647475,0.023290415,575,-1.10120299,0.271269075,0.98170183,43.75
ILF,L,16,-0.047650505,0.023290415,575,-2.045927684,0.041217871,0.436556344,46.875
ILF,L,17,-0.048752525,0.023290415,575,-2.093244153,0.03676491,0.402459754,50
ILF,L,18,-0.053155556,0.023290415,575,-2.28229318,0.022836404,0.291770823,53.125
ILF,L,19,-0.060772727,0.023290415,575,-2.60934496,0.00930772,0.143785621,56.25
ILF,L,20,-0.057216162,0.023290415,575,-2.456639839,0.014318745,0.204979502,59.375
ILF,L,21,-0.065678788,0.023290415,575,-2.819992154,0.004968113,0.085491451,62.5
ILF,L,22,-0.069685859,0.023290415,575,-2.992040213,0.002890044,0.054394561,65.625
ILF,L,23,-0.06469798,0.023290415,575,-2.777880063,0.005650102,0.093890611,68.75
ILF,L,24,-0.071139394,0.023290415,575,-3.054449378,0.002359141,0.04759524,71.875
ILF,L,25,-0.070123232,0.023290415,575,-3.010819343,0.002719797,0.051794821,75
ILF,L,26,-0.035637374,0.023290415,575,-1.530130467,0.126534374,0.810118988,78.125
ILF,L,27,-0.025252525,0.023290415,575,-1.084245392,0.278710415,0.98410159,81.25
ILF,L,28,-0.005322222,0.023290415,575,-0.228515559,0.819326707,1,84.375
ILF,L,29,-0.01050303,0.023290415,575,-0.450959343,0.652188862,1,87.5
ILF,L,30,-0.013207071,0.023290415,575,-0.56706034,0.570894485,1,90.625
ILF,L,31,-0.028066667,0.023290415,575,-1.205073698,0.228670573,0.9620038,93.75
ILF,L,32,-0.0273,0.023290415,575,-1.172156008,0.241619846,0.97030297,96.875
ILF,L,33,0.021884848,0.023290415,575,0.939650426,0.347791455,0.99540046,100
ILF,R,1,-0.031879798,0.02541198,575,-1.254518436,0.210163329,1,0
ILF,R,2,-0.032978788,0.02541198,575,-1.297765357,0.194888339,1,3.125
ILF,R,3,-0.040382828,0.02541198,575,-1.589125584,0.112581705,1,6.25
