Tract Hemisphere Point Value Std.Error DF t.value p.value p.val.adj Position
AF L 1 0.0326699999999989 0.0266844200787627 447 1.22430991205988 0.221480202972866 1 0
AF L 2 0.0181433333333354 0.0266844200787626 447 0.679922339694208 0.496905601201632 1 3.125
AF L 3 0.007303333333337 0.0266844200787626 447 0.273692788218003 0.784447139352337 1 6.25
AF L 4 0.0172733333333346 0.0266844200787627 447 0.647319045433631 0.517757766924365 1 9.375
AF L 5 0.0518533333333341 0.0266844200787627 447 1.94320630466324 0.0526186240482621 1 12.5
AF L 6 0.0390100000000007 0.0266844200787627 447 1.46190173460234 0.144470787267692 1 15.625
AF L 7 0.0210733333333321 0.0266844200787627 447 0.789724238755473 0.430107543903179 1 18.75
AF L 8 0.019613333333334 0.0266844200787627 447 0.735010664479221 0.462718434710694 1 21.875
AF L 9 0.00926666666666911 0.0266844200787627 447 0.347268804767624 0.728552827355872 1 25
AF L 10 0.00732999999999881 0.0266844200787627 447 0.274692122907799 0.783679693908892 1 28.125
AF L 11 0.0158633333333329 0.0266844200787627 447 0.594479223700949 0.552492401905413 1 31.25
AF L 12 0.00311000000000099 0.0266844200787626 447 0.116547408218781 0.907271059161913 1 34.375
AF L 13 0.00820000000000183 0.0266844200787627 447 0.307295417168461 0.758761637092047 1 37.5
AF L 14 0.0288866666666667 0.0266844200787627 447 1.08252930291923 0.279601012728455 1 40.625
AF L 15 0.0498366666666676 0.0266844200787627 447 1.86763161873362 0.062467612119138 1 43.75
AF L 16 0.0481266666666657 0.0266844200787627 447 1.80354928173868 0.0719751754448079 1 46.875
AF L 17 0.0266099999999986 0.0266844200787627 447 0.997211103762257 0.319201560668603 1 50
AF L 18 0.0242966666666691 0.0266844200787627 447 0.910518819406762 0.363039681743751 1 53.125
AF L 19 0.0278566666666668 0.0266844200787626 447 1.04393000051881 0.297082001514106 1 56.25
AF L 20 0.00959999999999911 0.0266844200787627 447 0.359760488392231 0.719196157511747 1 59.375
AF L 21 0.000473333333333932 0.0266844200787627 447 0.017738190747141 0.985855628212644 1 62.5
AF L 22 -0.00324333333333282 0.0266844200787626 447 -0.121544081668617 0.903314720439101 1 65.625
AF L 23 0.00869000000000062 0.0266844200787627 447 0.325658192096771 0.744835366544528 1 68.75
AF L 24 0.0246833333333339 0.0266844200787626 447 0.925009172411384 0.355460230694011 1 71.875
AF L 25 0.0205666666666672 0.0266844200787627 447 0.770736879645947 0.441270085978099 1 75
AF L 26 0.0367900000000005 0.0266844200787627 447 1.37870712166162 0.168674623978303 1 78.125
AF L 27 0.0427533333333332 0.0266844200787627 447 1.60218334170804 0.109821461260762 1 81.25
AF L 28 0.0350099999999998 0.0266844200787627 447 1.31200153110553 0.190192984031312 1 84.375
AF L 29 0.0200133333333339 0.0266844200787627 447 0.750000684828893 0.453648853694323 1 87.5
AF L 30 0.0239966666666666 0.0266844200787627 447 0.899276304144412 0.36898967853616 1 90.625
AF L 31 0.0232800000000001 0.0266844200787627 447 0.872419184351244 0.38344811164978 1 93.75
AF L 32 0.00107333333333347 0.0266844200787627 447 0.0402232212716403 0.967933123548233 1 96.875
AF L 33 0.021076666666667 0.0266844200787627 447 0.789849155591776 0.43003465501329 1 100
AF R 1 -0.016333333333334 0.0447458530193978 244 -0.365024515819451 0.715409299817249 1 0
AF R 2 0.0022333333333329 0.0447458530193978 244 0.049911515428362 0.960233733311758 1 2.85714285714286
AF R 3 -0.0446166666666642 0.0447458530193978 244 -0.997112886580181 0.319697522846343 1 5.71428571428571
AF R 4 -0.0623833333333323 0.0447458530193978 244 -1.39417016603278 0.164534452452358 1 8.57142857142857
AF R 5 -0.0601000000000006 0.0447458530193979 244 -1.34314122861724 0.180474203747624 1 11.4285714285714
AF R 6 -0.0249166666666664 0.0447458530193978 244 -0.556848623622501 0.57814124746386 1 14.2857142857143
AF R 7 -0.0279833333333323 0.0447458530193978 244 -0.625383838837562 0.532303629192703 1 17.1428571428571
AF R 8 -0.0289166666666667 0.0447458530193979 244 -0.646242382598696 0.518729749445935 1 20
AF R 9 -0.015316666666665 0.0447458530193978 244 -0.342303602079618 0.732417093036998 1 22.8571428571429
AF R 10 -0.0319666666666657 0.0447458530193978 244 -0.714405123818018 0.475659592833249 1 25.7142857142857
AF R 11 -0.0345666666666673 0.0447458530193978 244 -0.772511067152576 0.440559422861111 1 28.5714285714286
AF R 12 -0.0357500000000004 0.0447458530193979 244 -0.798956720849691 0.425092521180149 1 31.4285714285714
AF R 13 -0.017683333333333 0.0447458530193979 244 -0.395194909473892 0.69304431935457 1 34.2857142857143
AF R 14 -0.0154000000000007 0.0447458530193979 244 -0.344165972058341 0.731017891712183 1 37.1428571428571
AF R 15 -0.024849999999999 0.0447458530193978 244 -0.555358727639548 0.579158117431003 1 40
AF R 16 0.0155999999999981 0.0447458530193979 244 0.348635660007091 0.727663487813281 1 42.8571428571429
AF R 17 0.025400000000001 0.0447458530193978 244 0.567650369498818 0.570794327315322 1 45.7142857142857
AF R 18 0.01685 0.0447458530193978 244 0.376571209687193 0.706819541667986 1 48.5714285714286
AF R 19 -0.0302833333333327 0.0447458530193978 244 -0.676785250248879 0.49918330682396 1 51.4285714285714
AF R 20 -0.0132333333333331 0.0447458530193978 244 -0.295744352612885 0.767676853137209 1 54.2857142857143
AF R 21 -0.00736666666666718 0.0447458530193979 244 -0.164633506114492 0.869368761250475 1 57.1428571428571
AF R 22 -0.0150833333333336 0.0447458530193978 244 -0.337088966139382 0.736339607062863 1 60
AF R 23 -0.00959999999999907 0.0447458530193978 244 -0.214545021542831 0.830301257244435 1 62.8571428571429
AF R 24 -0.0135666666666659 0.0447458530193978 244 -0.303193832527556 0.762000495311423 1 65.7142857142857
AF R 25 -0.0308000000000003 0.0447458530193978 244 -0.688331944116656 0.491897665459897 1 68.5714285714286
AF R 26 -0.0311 0.0447458530193979 244 -0.695036476039863 0.487693784810899 1 71.4285714285714
AF R 27 0.0190333333333343 0.0447458530193979 244 0.425365303128383 0.670945307352619 1 74.2857142857143
AF R 28 0.0139833333333333 0.0447458530193979 244 0.312505682420924 0.754923157299145 1 77.1428571428571
AF R 29 -0.0124999999999995 0.0447458530193978 244 -0.279355496800578 0.780208666282885 1 80
AF R 30 0.0155666666666667 0.0447458530193979 244 0.347890712015668 0.728222192704886 1 82.8571428571429
AF R 31 0.00558333333333357 0.0447458530193979 244 0.124778788570935 0.900801419030114 1 85.7142857142857
AF R 32 0.0111333333333337 0.0447458530193979 244 0.2488126291504 0.803715023073778 1 88.5714285714286
