"Point","Value","Std.Error","DF","t.value","p.value","Position"
1,0.0204692307692419,0.0356720580941435,2388,0.57381692738952,0.566145731042161,0
2,0.0191384615384524,0.0356720580941434,2388,0.53651127972329,0.591655217534151,1.01010101010101
3,0.0283923076923118,0.0356720580941437,2388,0.795925696728245,0.426154335292909,2.02020202020202
4,0.0018307692307734,0.0356720580941438,2388,0.0513222204881405,0.95907305443247,3.03030303030303
5,-0.01232307692307,0.0356720580941433,2388,-0.345454610175499,0.729783055080925,4.04040404040404
6,-0.026653846153837,0.0356720580941433,2388,-0.747191151222449,0.455021747560746,5.05050505050505
7,-0.0423538461538468,0.0356720580941435,2388,-1.18731153784481,0.235222848332835,6.06060606060606
8,-0.079276923076931,0.0356720580941438,2388,-2.22238153088077,0.0263508789228012,7.07070707070707
9,-0.068253846153856,0.0356720580941438,2388,-1.91337001004327,0.0558201551384112,8.08080808080808
10,-0.0509923076922945,0.0356720580941432,2388,-1.42947478829843,0.15299862015408,9.09090909090909
11,-0.0498692307692382,0.0356720580941434,2388,-1.39799140934416,0.162245479740397,10.1010101010101
12,-0.0486153846153853,0.0356720580941438,2388,-1.36284215749711,0.1730607580847,11.1111111111111
13,-0.00576153846153533,0.0356720580941433,2388,-0.161514046829871,0.871702212029435,12.1212121212121
14,-0.00993846153846163,0.0356720580941437,2388,-0.278606339792131,0.780571069409557,13.1313131313131
15,-0.0188230769230886,0.0356720580941434,2388,-0.527670056866692,0.59777738195206,14.1414141414141
16,-0.0859999999999957,0.0356720580941433,2388,-2.41085052544572,0.0159904551397647,15.1515151515152
17,-0.0771384615384507,0.0356720580941433,2388,-2.16243372711695,0.0306837529772959,16.1616161616162
18,-0.0940076923076915,0.0356720580941433,2388,-2.63533133018545,0.00845988047177231,17.1717171717172
19,-0.106684615384611,0.0356720580941434,2388,-2.99070536112764,0.00281179227556782,18.1818181818182
20,-0.0844230769230879,0.0356720580941438,2388,-2.36664441116022,0.0180295410404932,19.1919191919192
21,-0.108823076923075,0.0356720580941436,2388,-3.050653164891,0.00230854710879311,20.2020202020202
22,-0.183569230769236,0.0356720580941437,2388,-5.14602298204298,2.87740676450577e-07,21.2121212121212
23,-0.126969230769237,0.0356720580941435,2388,-3.55934693855196,0.000379033200618153,22.2222222222222
24,-0.119146153846164,0.0356720580941435,2388,-3.34004148377762,0.000850539168731036,23.2323232323232
25,-0.0972769230769245,0.0356720580941436,2388,-2.72697815248554,0.00643845889297484,24.2424242424242
26,-0.0925000000000076,0.0356720580941437,2388,-2.5930659721367,0.00957052223861968,25.2525252525253
27,-0.0626230769230922,0.0356720580941437,2388,-1.75552183610547,0.0792982920197564,26.2626262626263
28,-0.039823076923083,0.0356720580941437,2388,-1.11636611540563,0.264377767644103,27.2727272727273
29,-0.0724384615384573,0.0356720580941434,2388,-2.03067794258695,0.0423982680581654,28.2828282828283
30,-0.0293923076923048,0.0356720580941436,2388,-0.823958842372772,0.410045228289496,29.2929292929293
31,0.00836153846152606,0.0356720580941436,2388,0.234400225505878,0.81469437815141,30.3030303030303
32,0.0400307692307655,0.0356720580941436,2388,1.12218838411618,0.261895169764536,31.3131313131313
33,0.0732999999999954,0.0356720580941437,2388,2.05482957575776,0.0400040437026941,32.3232323232323
34,0.0672076923076814,0.0356720580941437,2388,1.88404302690668,0.0596805402873729,33.3333333333333
35,0.0219307692307623,0.0356720580941437,2388,0.614788447946677,0.538753013175727,34.3434343434343
36,0.0275461538461382,0.0356720580941437,2388,0.772205342720624,0.440069231336769,35.3535353535354
37,0.0185076923076872,0.0356720580941438,2388,0.518828834009037,0.603928182998357,36.3636363636364
38,0.011861538461536,0.0356720580941437,2388,0.332516235262672,0.739528668145234,37.3737373737374
39,0.0114615384615501,0.0356720580941432,2388,0.321302977005185,0.748008918756865,38.3838383838384
40,0.0141846153846198,0.0356720580941434,2388,0.39763938899137,0.690931562175668,39.3939393939394
41,0.00219999999999383,0.0356720580941437,2388,0.0616729204182084,0.950828466357871,40.4040404040404
42,-0.0166230769230802,0.0356720580941437,2388,-0.465997136448072,0.641260050627198,41.4141414141414
43,-0.0195692307692268,0.0356720580941435,2388,-0.548587096308852,0.583340125971856,42.4242424242424
44,0.00272307692308335,0.0356720580941434,2388,0.076336411986569,0.939157852358166,43.4343434343434
45,-0.00374615384616728,0.0356720580941438,2388,-0.10501647637713,0.916371554353577,44.4444444444444
46,-0.0288153846153747,0.0356720580941434,2388,-0.807785873731394,0.419294314308263,45.4545454545455
47,-0.0534769230769177,0.0356720580941435,2388,-1.49912637324666,0.133973031752258,46.4646464646465
48,-0.0385230769230746,0.0356720580941435,2388,-1.07992302606726,0.280285515212166,47.4747474747475
49,-0.0223923076923049,0.0356720580941435,2388,-0.627726822859743,0.530242930703764,48.4848484848485
50,-0.0118615384615433,0.0356720580941436,2388,-0.332516235262877,0.739528668145079,49.4949494949495
51,0.00058461538461896,0.0356720580941436,2388,0.0163886082231667,0.986925736914136,50.5050505050505
52,0.00178461538462115,0.0356720580941435,2388,0.050028382996891,0.960103954177068,51.5151515151515
53,0.00104615384614593,0.0356720580941436,2388,0.0293269831357916,0.976606257349659,52.5252525252525
54,-0.000115384615388674,0.0356720580941434,2388,-0.0032345937283506,0.997419442278949,53.5353535353535
55,-0.00223076923077366,0.0356720580941436,2388,-0.0625354787460354,0.950141642801189,54.5454545454545
56,-0.0171153846153847,0.0356720580941435,2388,-0.479798069688461,0.631414926167719,55.5555555555556
57,-0.0253769230769233,0.0356720580941436,2388,-0.711394980630219,0.476908991119509,56.5656565656566
58,-0.0251923076923066,0.0356720580941436,2388,-0.706219630665002,0.480120457680604,57.5757575757576
59,-0.0151999999999961,0.0356720580941434,2388,-0.42610381379962,0.670070604373612,58.5858585858586
60,-0.00916153846154447,0.0356720580941436,2388,-0.25682674202217,0.797334650004172,59.5959595959596
